O3factor0.0,O3factor0.05,O3factor0.25,O3factor0.5,O3factor0.75,O3factor1.0,O3factor1.25,O3factor1.5,O3factor1.75,O3factor2.0,O3factor2.5,O3factor3.0,O3factor3.5,O3factor4.0,O3factor4.5,O3factor5.0,O3factor6.0,O3factor7.0,O3factor8.0,O3factor10.0
229.87038176932157,229.8101573750635,229.68384474170648,229.55070209889996,229.41628859132345,229.3,229.21326502266635,229.14078265744732,229.07553949225402,229.0209083568278,228.9135343567203,228.8195013379173,228.72842032217395,228.62694774027506,228.53973645235868,228.4544177617027,228.28958332145274,228.13277117040158,227.98393725520495,227.70900904971904
232.01559446447152,231.91560250147762,231.7336790379856,231.5864523294585,231.43426186474693,231.3,231.19643223334307,231.1092683145736,231.03124048851353,230.96465373570402,230.83674830001758,230.72373923536762,230.6150722995344,230.4980606381737,230.39467544921544,230.29354167564563,230.09783054639456,229.91100765438392,229.73310860261552,229.40333468820234
234.783951729276,234.64201462621446,234.3862600830735,234.22015034488095,234.052065570345,233.90000000000003,233.77798466351436,233.6734631680032,233.5795214439374,233.49784633445637,233.34338808909783,233.2062656735529,233.07569381680716,232.9394028548961,232.81695505030407,232.69767261788863,232.46760898270426,232.2482058950351,232.03899950114572,231.64980775627777
237.55595174218195,237.37344898000748,237.03177162175584,236.84298483522585,236.66477457244827,236.50000000000003,236.36244569519113,236.2417957085096,236.13217340391333,236.03517697362423,235.8530290125376,235.69057068547812,235.53699503182628,235.38045043506702,235.23838927247513,235.10074098657876,234.83684165796373,234.58636420601584,234.34791330026246,233.90367591765508
240.2714816455034,240.05448921520116,239.62509762895442,239.41020255930712,239.22898193272374,239.06000000000006,238.91364399116804,238.78170146833398,238.6598620135925,238.5501424777129,238.344069275003,238.1591639378347,237.98504561667,237.8104342324789,237.6508498494614,237.49688939119278,237.20342832909907,236.9266209537332,236.664177054251,236.1762652790804
242.97969350390656,242.73452247764155,242.21806721370018,241.96879087158516,241.78658558990386,241.6200000000001,241.47166897752888,241.33409145547563,241.20443208123794,241.08541666629958,240.86032818316284,240.6565336353359,240.46471095994642,240.27434994355912,240.09927294070727,239.9307647362312,239.61077530386876,239.310473831081,239.0270783046115,238.50279943154342
245.91363091232773,245.64636157051066,245.04591437245097,244.75002474568137,244.5619566440569,244.4000000000001,244.2547956027639,244.11703228104724,243.98438676177744,243.86010560317655,243.62192807646858,243.40336419362723,243.19694566781888,242.99329111165798,242.80479343416937,242.62344735451,242.2794400223022,241.95727021941693,241.6540987024252,241.09586925226378
249.08149330376406,248.79835257040116,248.12096466385285,247.76571572736643,247.5608169563319,247.4000000000001,247.25962685791092,247.12573482985937,246.99477589007512,246.86971828925758,246.62578849099236,246.39780925713728,246.18080025592002,245.96698834626153,245.76775853944528,245.57588801624212,245.21153004198965,244.86998193501404,244.548525940314,243.95747125240155
252.26364106537557,251.97022498781124,251.22648716040158,250.80317421413835,250.56810108696885,250.40000000000006,250.2618398589274,250.13315966188256,250.00733600264888,249.88583057682243,249.64472310404165,249.4144620413359,249.1924259041872,248.97279568513054,248.76651063627781,248.56731000434394,248.1880275623531,247.83147402741182,247.49507316976778,246.8749953448666
255.21242082120062,254.91407103304908,254.11819815722149,253.62455443515142,253.34706465885495,253.16000000000008,253.01672109419147,252.89032706788268,252.77003180817778,252.65464077843697,252.42429132258255,252.20029350064482,251.98078810813863,251.7615753998663,251.5535146091643,251.35149061868563,250.96482270499317,250.59960385883653,250.25372399356752,249.61299743768248
